Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
169,100.600000,89.820500,80.450000,16,5,47,5
170,100.600000,88.606500,79.150000,16,5,49,5
171,98.650000,87.910500,68.100000,19,5,66,5
172,98.650000,88.604000,80.450000,19,5,47,5
173,96.700000,87.765500,78.200000,22,5,51,4
174,98.000000,89.784500,76.250000,20,5,54,4
175,98.000000,88.661500,75.900000,20,5,54,5
176,98.000000,90.175000,81.100000,20,5,46,5
177,98.000000,89.238500,78.500000,20,5,50,5
178,98.000000,89.356500,75.600000,20,5,55,4
179,98.000000,87.907000,74.600000,20,5,56,5
180,98.000000,89.427500,66.500000,20,5,69,4
181,98.000000,89.733500,81.100000,20,5,46,5
182,98.000000,89.300000,78.500000,20,5,50,5
183,98.000000,89.690500,75.250000,20,5,55,5
184,98.000000,88.620000,78.200000,20,5,51,4
185,98.000000,87.108500,75.900000,20,5,54,5
186,95.400000,88.244000,75.900000,24,5,54,5
187,97.350000,88.105500,64.250000,21,5,73,3
188,97.350000,89.572000,75.600000,21,5,55,4
189,97.350000,89.262000,70.050000,21,5,63,5
190,97.350000,87.719000,74.600000,21,5,56,5
191,97.350000,89.314500,76.900000,21,5,53,4
192,97.350000,89.080000,75.900000,21,5,54,5
193,97.350000,88.215000,77.850000,21,5,51,5
194,97.350000,89.775500,79.800000,21,5,48,5
195,97.350000,89.960000,76.550000,21,5,53,5
196,98.000000,90.038500,70.050000,20,5,63,5
197,99.300000,89.287500,78.500000,18,5,50,5
198,98.000000,87.139500,77.200000,20,5,52,5
199,98.000000,89.174500,79.800000,20,5,48,5
200,98.000000,88.027500,73.000000,20,5,59,4
201,96.700000,85.874500,72.650000,22,5,59,5
202,96.700000,90.213500,82.400000,22,5,44,5
203,97.350000,89.057500,75.900000,21,5,54,5
204,97.350000,89.106000,75.250000,21,5,55,5
205,97.350000,89.556000,78.200000,21,5,51,4
206,97.350000,88.556500,79.800000,21,5,48,5
207,98.000000,88.761500,78.850000,20,5,50,4
208,98.000000,89.778000,80.450000,20,5,47,5
209,98.000000,89.288500,74.600000,20,5,56,5
210,98.650000,89.246000,76.550000,19,5,53,5
211,98.650000,89.586000,77.200000,19,5,52,5
212,98.000000,88.482000,68.100000,20,5,66,5
213,98.000000,87.888000,70.700000,20,5,62,5
214,98.000000,88.694000,73.950000,20,5,57,5
215,98.000000,88.544500,72.000000,20,5,60,5
216,98.000000,88.648500,76.250000,20,5,54,4
217,99.300000,89.041000,79.800000,18,5,48,5
218,98.000000,87.651500,76.900000,20,5,53,4
219,98.000000,89.606000,80.450000,20,5,47,5
220,98.000000,89.544500,77.850000,20,5,51,5
221,97.350000,86.475500,70.400000,21,5,63,4
222,97.350000,87.053500,70.400000,21,5,63,4
223,97.350000,89.772500,82.100000,21,5,45,4
224,97.350000,89.308500,78.500000,21,5,50,5
225,97.350000,88.924000,75.600000,21,5,55,4
226,97.350000,89.427000,80.150000,21,5,48,4
227,97.350000,88.355000,73.950000,21,5,57,5
228,97.350000,87.975000,73.950000,21,5,57,5
229,99.300000,88.990000,74.950000,18,5,56,4
230,99.300000,89.078000,77.850000,18,5,51,5
231,99.300000,87.785000,72.350000,18,5,60,4
232,99.300000,87.846000,75.250000,18,5,55,5
233,99.300000,88.791000,75.600000,18,5,55,4
234,99.300000,88.909500,73.300000,18,5,58,5
235,99.300000,88.418000,67.800000,18,5,67,4
236,99.300000,89.641500,78.200000,18,5,51,4
237,99.300000,87.620500,76.550000,18,5,53,5
238,99.300000,88.726000,75.250000,18,5,55,5
239,99.300000,89.230000,77.200000,18,5,52,5
240,99.300000,89.681000,81.100000,18,5,46,5
241,99.300000,89.011500,73.300000,18,5,58,5
242,99.300000,88.297500,73.300000,18,5,58,5
243,98.000000,87.837000,73.300000,20,5,58,5
244,98.000000,89.046500,73.300000,20,5,58,5
245,98.000000,89.259000,77.850000,20,5,51,5
246,98.000000,89.121500,77.850000,20,5,51,5
247,98.000000,87.973000,73.950000,20,5,57,5
248,99.300000,88.401500,61.950000,18,5,76,4
249,99.300000,90.204500,78.200000,18,5,51,4
250,99.300000,89.158000,73.950000,18,5,57,5
251,99.300000,90.236000,75.250000,18,5,55,5
252,99.300000,88.733500,69.100000,18,5,65,4
253,99.300000,89.036000,77.200000,18,5,52,5
254,99.300000,88.164500,76.250000,18,5,54,4
255,98.650000,88.602000,75.250000,19,5,55,5
256,98.650000,88.754000,76.250000,19,5,54,4
257,98.650000,88.275500,76.550000,19,5,53,5
258,97.350000,87.817000,75.250000,21,5,55,5
259,99.950000,89.136500,74.300000,17,5,57,4
260,99.950000,89.538000,81.750000,17,5,45,5
261,99.950000,88.733000,72.700000,17,5,60,3
262,99.950000,88.190000,75.900000,17,5,54,5
263,99.950000,87.871500,67.450000,17,5,67,5
264,99.950000,88.040500,74.600000,17,5,56,5
265,99.950000,88.619000,78.850000,17,5,50,4
266,99.950000,88.574000,71.050000,17,5,62,4
267,98.000000,86.589500,61.650000,20,5,77,3
268,98.000000,89.970000,79.800000,20,5,48,5
269,97.350000,87.933000,76.550000,21,5,53,5
270,97.350000,88.930000,78.500000,21,5,50,5
271,97.350000,87.800500,75.250000,21,5,55,5
272,97.350000,89.099500,75.900000,21,5,54,5
273,97.350000,88.278000,74.950000,21,5,56,4
274,97.350000,87.930000,76.900000,21,5,53,4
275,97.350000,87.913000,76.900000,21,5,53,4
276,97.350000,88.843000,72.000000,21,5,60,5
277,97.350000,87.781500,77.850000,21,5,51,5
278,97.350000,88.099000,73.950000,21,5,57,5
279,97.350000,88.976000,75.250000,21,5,55,5
280,97.350000,90.226500,81.750000,21,5,45,5
281,97.350000,88.651500,77.200000,21,5,52,5
282,97.350000,89.849500,81.100000,21,5,46,5
283,97.350000,88.670500,75.600000,21,5,55,4
284,97.350000,89.628000,77.200000,21,5,52,5
285,97.350000,89.337000,74.950000,21,5,56,4
286,97.350000,89.690000,80.450000,21,5,47,5
287,99.300000,89.980500,75.250000,18,5,55,5
288,99.300000,89.161500,79.150000,18,5,49,5
289,99.300000,90.451500,79.500000,18,5,49,4
290,99.300000,89.495500,76.550000,18,5,53,5
291,99.300000,89.249000,81.450000,18,5,46,4
292,99.300000,88.443000,77.200000,18,5,52,5
293,99.300000,89.902000,79.800000,18,5,48,5
294,99.300000,89.596000,76.550000,18,5,53,5
295,99.300000,88.885000,76.550000,18,5,53,5
296,99.300000,89.002000,79.800000,18,5,48,5
297,99.300000,89.206500,73.650000,18,5,58,4
298,99.300000,88.584500,74.000000,18,5,58,3
299,99.300000,88.881500,79.800000,18,5,48,5
300,99.300000,88.067000,76.250000,18,5,54,4
301,99.300000,88.593000,73.650000,18,5,58,4
302,99.300000,87.901000,73.950000,18,5,57,5
303,99.300000,88.751000,77.850000,18,5,51,5
304,99.300000,88.568000,74.950000,18,5,56,4
305,99.300000,88.742000,77.850000,18,5,51,5
306,98.650000,88.726000,70.700000,19,5,62,5
307,98.650000,90.470000,80.800000,19,5,47,4
308,98.650000,89.083000,72.000000,19,5,60,5
309,98.650000,88.589500,78.500000,19,5,50,5
310,101.250000,89.037500,74.950000,15,5,56,4
311,101.250000,87.880500,75.900000,15,5,54,5
312,101.250000,87.931000,74.600000,15,5,56,5
313,101.250000,88.561000,76.250000,15,5,54,4
314,101.250000,89.182000,82.100000,15,5,45,4
315,101.250000,88.174500,76.550000,15,5,53,5
316,101.250000,88.008500,75.900000,15,5,54,5
317,101.250000,88.183000,75.250000,15,5,55,5
318,101.250000,87.860500,72.650000,15,5,59,5
319,101.250000,87.979500,74.600000,15,5,56,5
320,101.250000,89.089000,73.950000,15,5,57,5
321,100.600000,87.433500,73.950000,16,5,57,5
