Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
192,64.800000,52.497000,45.000000,1,5,23,5
193,64.800000,52.072000,44.100000,1,5,24,5
194,64.800000,52.380000,39.700000,1,5,29,4
195,64.800000,52.323000,43.200000,1,5,25,5
196,64.800000,53.193000,43.200000,1,5,25,5
197,64.800000,51.954000,39.600000,1,5,29,5
198,64.800000,53.212000,45.000000,1,5,23,5
199,64.800000,52.331000,43.200000,1,5,25,5
200,64.800000,52.542000,44.100000,1,5,24,5
201,64.800000,52.209000,42.300000,1,5,26,5
202,64.800000,52.589000,42.300000,1,5,26,5
203,64.800000,53.299000,42.300000,1,5,26,5
204,64.800000,51.712000,40.600000,1,5,28,4
205,64.800000,52.617000,44.100000,1,5,24,5
206,64.800000,52.445000,42.400000,1,5,26,4
207,64.800000,52.126000,44.100000,1,5,24,5
208,64.800000,52.530000,45.000000,1,5,23,5
209,64.800000,52.902000,40.600000,1,5,28,4
210,64.800000,52.980000,45.900000,1,5,22,5
211,64.800000,52.324000,43.300000,1,5,25,4
212,64.800000,53.240000,45.000000,1,5,23,5
213,64.800000,51.825000,43.300000,1,5,25,4
214,64.800000,52.259000,43.200000,1,5,25,5
215,64.800000,52.533000,44.100000,1,5,24,5
216,64.800000,52.074000,44.200000,1,5,24,4
217,64.800000,52.003000,44.100000,1,5,24,5
218,64.800000,52.503000,42.300000,1,5,26,5
219,64.800000,52.067000,38.800000,1,5,30,4
220,64.800000,52.583000,45.000000,1,5,23,5
221,64.800000,52.704000,42.400000,1,5,26,4
222,64.800000,52.410000,43.200000,1,5,25,5
223,64.800000,51.865000,42.300000,1,5,26,5
224,64.800000,51.986000,40.500000,1,5,28,5
225,64.800000,52.067000,43.300000,1,5,25,4
226,64.800000,52.732000,44.100000,1,5,24,5
227,64.800000,52.639000,43.300000,1,5,25,4
228,64.800000,52.416000,45.000000,1,5,23,5
229,64.800000,52.438000,42.300000,1,5,26,5
230,64.800000,51.670000,43.300000,1,5,25,4
231,64.800000,52.186000,42.300000,1,5,26,5
232,64.800000,52.584000,45.900000,1,5,22,5
233,64.800000,53.284000,39.700000,1,5,29,4
234,64.800000,52.225000,43.300000,1,5,25,4
235,64.800000,52.641000,45.100000,1,5,23,4
236,64.800000,52.207000,45.000000,1,5,23,5
237,64.800000,52.338000,42.300000,1,5,26,5
238,64.800000,52.419000,42.400000,1,5,26,4
239,64.800000,52.908000,46.900000,1,5,21,4
240,64.800000,52.057000,44.100000,1,5,24,5
241,64.800000,52.715000,45.900000,1,5,22,5
242,64.800000,51.773000,40.600000,1,5,28,4
243,64.800000,52.214000,44.100000,1,5,24,5
244,64.800000,53.231000,45.000000,1,5,23,5
245,64.800000,52.998000,44.200000,1,5,24,4
246,64.800000,52.665000,42.400000,1,5,26,4
