Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
287,168.500000,146.099000,122.600000,19,5,70,5
288,168.500000,146.316000,134.300000,19,5,57,5
289,168.500000,145.370000,127.100000,19,5,65,5
290,168.500000,146.567000,122.600000,19,5,70,5
291,168.500000,145.271000,130.700000,19,5,61,5
292,168.500000,147.746000,134.300000,19,5,57,5
293,168.500000,145.560000,132.500000,19,5,59,5
294,168.500000,144.956000,120.800000,19,5,72,5
295,168.500000,145.136000,129.800000,19,5,62,5
296,168.500000,146.225000,130.700000,19,5,61,5
297,168.500000,146.594000,126.200000,19,5,66,5
298,168.500000,145.019000,130.700000,19,5,61,5
299,168.500000,146.639000,130.700000,19,5,61,5
300,168.500000,146.261000,129.800000,19,5,62,5
301,168.500000,145.623000,130.700000,19,5,61,5
302,168.500000,144.902000,128.900000,19,5,63,5
303,168.500000,145.721000,131.600000,19,5,60,5
304,168.500000,146.361000,130.700000,19,5,61,5
305,168.500000,146.045000,130.700000,19,5,61,5
306,168.500000,144.992000,127.100000,19,5,65,5
307,168.500000,146.477000,134.300000,19,5,57,5
308,168.500000,145.478000,132.500000,19,5,59,5
309,168.500000,145.721000,128.900000,19,5,63,5
310,168.500000,146.154000,128.000000,19,5,64,5
311,168.500000,144.785000,123.500000,19,5,69,5
312,168.500000,145.973000,128.900000,19,5,63,5
313,168.500000,146.009000,129.800000,19,5,62,5
314,168.500000,146.378000,131.600000,19,5,60,5
315,168.500000,146.459000,131.600000,19,5,60,5
316,168.500000,145.398000,127.100000,19,5,65,5
317,168.500000,147.260000,131.600000,19,5,60,5
318,168.500000,145.622000,127.100000,19,5,65,5
319,168.500000,146.198000,130.700000,19,5,61,5
320,168.500000,146.099000,131.600000,19,5,60,5
321,168.500000,146.423000,126.200000,19,5,66,5
322,168.500000,146.235000,132.500000,19,5,59,5
323,168.500000,146.235000,128.000000,19,5,64,5
324,168.500000,146.207000,129.800000,19,5,62,5
325,168.500000,145.676000,127.100000,19,5,65,5
326,168.500000,144.146000,129.800000,19,5,62,5
327,168.500000,145.470000,131.600000,19,5,60,5
328,168.500000,146.198000,130.700000,19,5,61,5
329,168.500000,146.972000,127.100000,19,5,65,5
330,168.500000,146.360000,133.400000,19,5,58,5
331,168.500000,146.847000,128.000000,19,5,64,5
332,168.500000,146.172000,130.700000,19,5,61,5
333,168.500000,146.072000,128.900000,19,5,63,5
334,168.500000,146.108000,127.100000,19,5,65,5
335,168.500000,145.202000,128.900000,19,5,63,5
336,168.500000,145.577000,125.300000,19,5,67,5
337,168.500000,145.793000,129.800000,19,5,62,5
338,168.500000,145.803000,117.200000,19,5,76,5
339,168.500000,146.145000,129.800000,19,5,62,5
340,168.500000,146.099000,131.600000,19,5,60,5
341,168.500000,147.512000,132.500000,19,5,59,5
342,168.500000,145.451000,130.700000,19,5,61,5
343,168.500000,145.703000,128.900000,19,5,63,5
344,168.500000,145.605000,119.000000,19,5,74,5
345,168.500000,146.846000,132.500000,19,5,59,5
346,168.500000,144.902000,120.800000,19,5,72,5
347,168.500000,146.315000,134.300000,19,5,57,5
348,168.500000,146.936000,128.900000,19,5,63,5
349,168.500000,145.525000,123.600000,19,5,69,4
350,168.500000,145.370000,128.900000,19,5,63,5
351,168.500000,144.884000,130.700000,19,5,61,5
352,168.500000,145.622000,130.700000,19,5,61,5
353,168.500000,146.216000,135.200000,19,5,56,5
354,168.500000,144.938000,125.300000,19,5,67,5
355,168.500000,146.009000,133.400000,19,5,58,5
356,168.500000,146.711000,128.900000,19,5,63,5
357,168.500000,145.388000,125.300000,19,5,67,5
358,168.500000,146.019000,128.900000,19,5,63,5
359,168.500000,145.406000,118.100000,19,5,75,5
360,168.500000,146.396000,123.500000,19,5,69,5
361,168.500000,145.208000,125.300000,19,5,67,5
362,168.500000,145.597000,129.800000,19,5,62,5
363,168.500000,146.001000,129.800000,19,5,62,5
364,168.500000,145.560000,128.000000,19,5,64,5
365,168.500000,144.758000,128.900000,19,5,63,5
366,168.500000,145.667000,122.600000,19,5,70,5
367,168.500000,146.837000,130.700000,19,5,61,5
368,168.500000,145.272000,128.900000,19,5,63,5
369,168.500000,145.712000,127.100000,19,5,65,5
370,168.500000,146.189000,129.800000,19,5,62,5
371,168.500000,145.236000,126.200000,19,5,66,5
372,168.500000,146.630000,128.900000,19,5,63,5
373,168.500000,145.425000,130.700000,19,5,61,5
374,168.500000,146.379000,130.700000,19,5,61,5
